matricula,nombre,apellidos,f_nacimiento,sexo,egreso,area,estado_laboral,sueldo
2216407,Nombre 1,Apellido 1,18/10/2003,H,08/01/2023,humanidades,1,12757.51
3634205,Nombre 2,Apellido 2,30/07/1998,H,15/01/2019,ciencias sociales,1,12840.77
4747784,Nombre 3,Apellido 3,08/01/2007,M,23/07/2026,ciencias sociales,1,13174.04
4428821,Nombre 4,Apellido 4,18/07/1977,H,29/01/1997,humanidades,1,13362.57
5965563,Nombre 5,Apellido 5,15/12/1988,H,09/01/2020,ingeniería,1,13464.91
6039133,Nombre 6,Apellido 6,22/04/2007,H,10/09/2026,ciencias sociales,1,13598.12
4947883,Nombre 7,Apellido 7,09/04/1979,M,29/06/2002,humanidades,1,13635.36
8925071,Nombre 8,Apellido 8,13/02/2007,H,28/06/2026,humanidades,1,13739.09
4206160,Nombre 9,Apellido 9,24/03/1998,M,06/09/2021,humanidades,0,
6291388,Nombre 10,Apellido 10,16/05/1975,H,17/07/2024,ciencias sociales,1,13761.33
4109024,Nombre 11,Apellido 11,07/06/1983,H,11/06/2015,ingeniería,1,13797.48
1237259,Nombre 12,Apellido 12,16/01/2007,M,28/01/2026,ciencias sociales,1,13798.63
8297908,Nombre 13,Apellido 13,13/10/2004,H,15/07/2025,medicina,1,13806.15
5347089,Nombre 14,Apellido 14,10/08/1989,M,06/08/2018,ciencias sociales,1,13883.47
4420060,Nombre 15,Apellido 15,29/04/2004,M,17/08/2025,medicina,0,
8314411,Nombre 16,Apellido 16,25/01/1997,H,09/03/2021,medicina,1,13920.15
9380416,Nombre 17,Apellido 17,26/11/1988,H,20/09/2021,humanidades,1,14045.12
7637309,Nombre 18,Apellido 18,27/06/1984,M,29/07/2014,ciencias sociales,0,
1657109,Nombre 19,Apellido 19,12/12/2003,H,24/10/2025,humanidades,1,14088.95
6404823,Nombre 20,Apellido 20,24/04/1972,H,20/07/1997,ingeniería,1,14130.38
6080959,Nombre 21,Apellido 21,24/02/1988,M,25/05/2025,ciencias sociales,1,14147.44
7862715,Nombre 22,Apellido 22,29/06/1975,M,13/07/2008,ciencias sociales,0,
4287973,Nombre 23,Apellido 23,04/04/1985,H,04/12/2005,ciencias sociales,1,14172
1838983,Nombre 24,Apellido 24,14/11/1970,H,06/06/2014,ciencias sociales,1,14197.02
3850908,Nombre 25,Apellido 25,18/01/2004,M,17/07/2023,ingeniería,1,14250.19
3785909,Nombre 26,Apellido 26,19/03/1987,M,12/06/2011,ingeniería,1,14265.08
8871403,Nombre 27,Apellido 27,03/05/1973,M,13/03/2005,ingeniería,0,
6655158,Nombre 28,Apellido 28,28/09/1974,M,16/11/2022,ciencias sociales,1,14312.01
7822344,Nombre 29,Apellido 29,31/12/2001,H,28/12/2023,humanidades,0,
4568447,Nombre 30,Apellido 30,02/01/1991,M,01/10/2025,ingeniería,1,14332.83
6958781,Nombre 31,Apellido 31,05/08/2000,H,01/08/2023,humanidades,1,14343.44
4406465,Nombre 32,Apellido 32,24/12/2004,H,26/04/2025,medicina,1,14416.4
9180807,Nombre 33,Apellido 33,09/02/1982,H,04/12/2010,humanidades,1,14419.14
7735323,Nombre 34,Apellido 34,25/03/2000,M,15/04/2024,humanidades,1,14448.48
7513311,Nombre 35,Apellido 35,27/04/2003,H,30/09/2026,humanidades,1,14460.32
1290000,Nombre 36,Apellido 36,17/12/1986,H,20/10/2006,ingeniería,1,14463.77
1931343,Nombre 37,Apellido 37,05/09/1976,M,11/07/2005,humanidades,1,14465.69
5649242,Nombre 38,Apellido 38,20/09/1971,H,27/10/2015,medicina,0,
5362987,Nombre 39,Apellido 39,02/04/1999,M,28/12/2021,medicina,1,14523.19
7536361,Nombre 40,Apellido 40,06/11/1992,M,22/06/2020,humanidades,1,14541.48
